subject,subjectLabel,abstract
http://dbpedia.org/resource/Calcium_hydroxide,Calciumhydroxid,"Calciumhydroxid (auch: gelöschter Kalk, Löschkalk, (Weiß)Kalkhydrat, Hydratkalk) ist das Hydroxid des Calciums."
http://dbpedia.org/resource/Engineered_wood,Holzwerkstoff,"Holzwerkstoffe sind Werkstoffe, die durch Zerkleinern von Holz und anschließendes Zusammenfügen der Strukturelemente erzeugt werden. Größe und Form der Holzpartikel entscheiden über die Art des Holzwerkstoffes und seine Eigenschaften. Die Holzpartikel können ohne oder mit Bindemitteln oder mechanischen Verbindungen miteinander verbunden sein."
http://dbpedia.org/resource/Mesh,Maschenbindung,Die Maschenbindung bestimmt die Art der Fadenverschlingung bei Maschenwaren (Strick- und Kulierwaren sowie Kettenwirkwaren). Die Masche ist die Verbindung von zwei miteinander verschlungenen Fadenschlingen zur Bildung der kleinsten stabilen Einheit einer Maschenware.
http://dbpedia.org/resource/Melamine_resin,Melaminharz,"Melaminharze (Melamin-Formaldehyd-Kondensationsharze, DIN-Kurzzeichen: MF) sind Kunstharze (Kondensationsharze), die auf den Verbindungen Melamin und Formaldehyd basieren und zu den Aminoplasten zählen. Nach dem Durchhärten über eine Polykondensation bilden die Harze duroplastische Kunststoffe. Neben den klassischen Melamin-Formaldehyd-Kondensationsharzen werden auch modifizierte Melaminharze, wie Melamin-Phenol-Formaldehyd-Harze (DIN-Kurzzeichen: MPF) und Melamin-Harnstoff-Formaldehyd-Harze (DIN-Kurzzeichen: MUF) hergestellt."
http://dbpedia.org/resource/Metal_profiles,Trapezblech,"Trapezbleche (auch Trapezprofile oder Profiltafeln) sind im Querschnitt trapezähnlich gekantete Profilbleche (im Gegensatz zu Wellprofilen, deren Querschnitt sinusförmig gekrümmt verläuft). Trapezprofile finden vor allem im Gewerbe- und Industriebau vielfältige Anwendung für Dach-, Decken- und Wandkonstruktionen. Die obenliegenden Bereiche des Trapezprofils werden als Obergurt, die untenliegenden als Untergurt bezeichnet. Versteifungen in Obergurten, Untergurten und Stegen nennt man Sicken oder Versätze."
http://dbpedia.org/resource/Permeable_paving,Versickerungsfähige Verkehrsflächen,"Als versickerungsfähige Verkehrsfläche wird eine Oberflächenbefestigung im Straßen- und Wegebau bezeichnet, welche Oberflächenwasser am Ort ihres Auftretens in größerem Umfang versickern lässt. Eine Anwendung als Versickerungsanlage, die weitere Oberflächenwasserquellen aufnimmt, ist seltener. In dem in Deutschland gültigen Merkblatt für Versickerungsfähige Verkehrsflächen der FGSV werden die Flächenbefestigung mit wasserdurchlässigen Pflastersystemen, Pflastersteinen mit Sickerfugen, Drainasphaltschichten und Drainbetonschichten beschrieben. Die Anwendung mit Pflastersystemen ist dabei die am häufigsten verbreitete versickerungsfähige Flächenbefestigung. Zur Entsiegelung werden auch begrünbare Beläge eingesetzt. Diese Flächenbefestigungen sind in der Richtlinie für die Planung, Ausführung und Unterhaltung für begrünbare Flächenbefestigungen der FLL aufgeführt. Wassergebundene Deckschichten sind im bautechnischen Sinne keine versickerungsfähigen Verkehrsflächen. Erste Anwendungen versickerungsfähiger Verkehrsflächen fanden in den 1980er Jahren statt. In den 1990er Jahren wurden auf Basis des praktischen Einsatzes erste wissenschaftliche Untersuchungen durchgeführt und veröffentlicht. Grundlegende Regeln der Bauweise wurden 1998 in Deutschland im Merkblatt für wasserdurchlässige Befestigungen von Verkehrsflächen der FGSV beschrieben."
http://dbpedia.org/resource/Lime_(material),Baukalk,"Baukalk ist ein Sammelbegriff für im Bauwesen verwendete Baustoffe aus Kalkstein. Baukalk ist ein sehr alter Baustoff und wurde schon in der Antike verarbeitet. Heutzutage werden Baukalke im Bauwesen hauptsächlich als mineralisches Bindemittel verwendet. Sie dienen der Herstellung von Kalkmörtel, welcher als Mauer- und Putzmörtel eingesetzt wird. Im Bereich der Baugrundverbesserung kann Baukalk zur Bodenverfestigung verwendet werden. Des Weiteren ist Baukalk in Form von Kalksteinmehl in den Zementarten Portlandkalksteinzement und ggf. Portlandkompositzement vorhanden. Durch den Kalksteinmehlanteil kommt es zu einer schnelleren Erhärtung und höheren Frühfestigkeit im Vergleich zu normalem Portlandzement. Reiner Kalkmörtel besitzt bei gleichen Mischungsverhältnissen im erhärteten Zustand eine erheblich geringere Festigkeit als Zementmörtel. Jedoch lässt er sich vergleichsweise besser verarbeiten. Kalkputz hat eine gute Wasserdampfdurchlässigkeit und wird daher üblicherweise in Innenräumen verwendet. Beim Umgang mit Baukalken ist zu beachten, dass diese Baustoffe stark alkalisch wirken und bei Hautkontakt zur Verätzung der Haut führen können. Beim sog. „Löschen“ (Mischen mit Wasser) des Branntkalks ist besondere Vorsicht geboten. Die Reaktion mit Wasser verläuft exotherm und setzt rasch viel Wärme frei. Der Kontakt mit dabei entstehenden Kalkspritzern ist gefährlich. Besonders Augen und Schleimhäute müssen geschützt sein, weil es sonst zur Erblindung kommen kann. Es ist zudem wichtig, bei der Mischung mit Gips nur Luftkalke zu verwenden, da Mischungen mit hydraulischen Kalken und Gips zu schweren Treibschäden führen."
http://dbpedia.org/resource/Lime_(material),Baukalk,"Calciumoxid, auch gebrannter Kalk, Branntkalk, ungelöschter Kalk, Kalkerde, Ätzkalk oder Freikalk ist eine chemische Verbindung aus Calcium und Sauerstoff mit der Formel CaO. Die weiße kristalline Substanz reagiert mit Wasser unter starker Wärmeentwicklung. Bei dieser Reaktion wird Calciumhydroxid (Löschkalk) nach der Reaktionsgleichung gebildet. Gebrannter Kalk wird in Weichbrannt-, Mittelbrannt- und Hartbranntkalk unterschieden."
http://dbpedia.org/resource/Lime_(material),Calciumoxid,"Baukalk ist ein Sammelbegriff für im Bauwesen verwendete Baustoffe aus Kalkstein. Baukalk ist ein sehr alter Baustoff und wurde schon in der Antike verarbeitet. Heutzutage werden Baukalke im Bauwesen hauptsächlich als mineralisches Bindemittel verwendet. Sie dienen der Herstellung von Kalkmörtel, welcher als Mauer- und Putzmörtel eingesetzt wird. Im Bereich der Baugrundverbesserung kann Baukalk zur Bodenverfestigung verwendet werden. Des Weiteren ist Baukalk in Form von Kalksteinmehl in den Zementarten Portlandkalksteinzement und ggf. Portlandkompositzement vorhanden. Durch den Kalksteinmehlanteil kommt es zu einer schnelleren Erhärtung und höheren Frühfestigkeit im Vergleich zu normalem Portlandzement. Reiner Kalkmörtel besitzt bei gleichen Mischungsverhältnissen im erhärteten Zustand eine erheblich geringere Festigkeit als Zementmörtel. Jedoch lässt er sich vergleichsweise besser verarbeiten. Kalkputz hat eine gute Wasserdampfdurchlässigkeit und wird daher üblicherweise in Innenräumen verwendet. Beim Umgang mit Baukalken ist zu beachten, dass diese Baustoffe stark alkalisch wirken und bei Hautkontakt zur Verätzung der Haut führen können. Beim sog. „Löschen“ (Mischen mit Wasser) des Branntkalks ist besondere Vorsicht geboten. Die Reaktion mit Wasser verläuft exotherm und setzt rasch viel Wärme frei. Der Kontakt mit dabei entstehenden Kalkspritzern ist gefährlich. Besonders Augen und Schleimhäute müssen geschützt sein, weil es sonst zur Erblindung kommen kann. Es ist zudem wichtig, bei der Mischung mit Gips nur Luftkalke zu verwenden, da Mischungen mit hydraulischen Kalken und Gips zu schweren Treibschäden führen."
http://dbpedia.org/resource/Lime_(material),Calciumoxid,"Calciumoxid, auch gebrannter Kalk, Branntkalk, ungelöschter Kalk, Kalkerde, Ätzkalk oder Freikalk ist eine chemische Verbindung aus Calcium und Sauerstoff mit der Formel CaO. Die weiße kristalline Substanz reagiert mit Wasser unter starker Wärmeentwicklung. Bei dieser Reaktion wird Calciumhydroxid (Löschkalk) nach der Reaktionsgleichung gebildet. Gebrannter Kalk wird in Weichbrannt-, Mittelbrannt- und Hartbranntkalk unterschieden."
